config_id,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,F1_macro_mean,F1_fail_mean,F1_fail_std,Recall_fail_mean,Recall_fail_std,Precision_fail_mean,PR_AUC_mean,PR_AUC_std,ROC_AUC_mean,Time_s
55,150,3,0.1,1.0,0.8,0.5903096122175077,0.22486863887452876,0.024951510305994826,0.1833333333333333,0.03955535172818131,0.3437606837606838,0.24238232237597063,0.035329225891572766,0.7571457291130954,31.247514009475708
56,150,3,0.1,1.0,1.0,0.5901495997627672,0.22454289472792416,0.024272569037424214,0.1833333333333333,0.03955535172818131,0.32607313738892685,0.23549962169442323,0.034396282160598535,0.7581468445061881,31.53390622138977
57,150,4,0.05,0.8,0.8,0.5850012341920112,0.21349499667526234,0.033623407209786134,0.1738095238095238,0.05194624816493198,0.3275033738191633,0.2547080085493992,0.04412824126798068,0.7632251335243527,32.1337251663208
58,150,4,0.05,0.8,1.0,0.5935360833428474,0.22955405405405407,0.03107072682995068,0.1833333333333333,0.04971574528052643,0.3826672295712543,0.23425237365201879,0.047435932602453226,0.7570690319233964,32.50531196594238
59,150,4,0.05,1.0,0.8,0.5807199193706409,0.2027537414634189,0.03900373416101539,0.15476190476190474,0.05106573949887432,0.3345378151260504,0.25394444751462664,0.03523568536896251,0.7604822238400246,32.334770917892456
60,150,4,0.05,1.0,1.0,0.5828817211677977,0.20849803720771462,0.035154824302525034,0.1638095238095238,0.039681269820951735,0.3060606060606061,0.24788914086571542,0.03341076527537587,0.7578966046187514,33.26544690132141
61,150,4,0.1,0.8,0.8,0.6034322755380174,0.24511112565159543,0.07740058978507014,0.18380952380952378,0.07435893827025956,0.44020146520146514,0.24396928287607317,0.04391853153286625,0.7730652382510815,32.14376425743103
62,150,4,0.1,0.8,1.0,0.5907314239411916,0.22174899554995084,0.03317126224007161,0.1638095238095238,0.025837447554762933,0.3671428571428571,0.23009915497579403,0.045202672914681975,0.7594942883413592,32.2303249835968
63,150,4,0.1,1.0,0.8,0.5877879620013087,0.21657153657153655,0.031119626722294826,0.16428571428571428,0.042857142857142864,0.362156862745098,0.24769683783171273,0.04387198517027266,0.7697641199637554,31.9191632270813
64,150,4,0.1,1.0,1.0,0.6006246980329971,0.23947529594588418,0.015093132893790266,0.17333333333333334,0.025125535158615087,0.43269841269841275,0.23960961576905868,0.034180458026206215,0.7604960716345073,32.29800891876221
65,150,5,0.05,0.8,0.8,0.5780877932646009,0.19641649763353616,0.03857038255473212,0.14476190476190473,0.04483277065119932,0.377014652014652,0.26112473074788417,0.034022806457145956,0.7682853892410206,33.026581048965454
66,150,5,0.05,0.8,1.0,0.5708950710233223,0.18305167754228804,0.032079014893767806,0.13476190476190478,0.03612776521598221,0.35102564102564104,0.24119124515978468,0.040496374933108786,0.7596614859885701,33.62224793434143
67,150,5,0.05,1.0,0.8,0.5805546298689642,0.20065077755240024,0.02282999406854684,0.14476190476190473,0.03321065861745275,0.395021645021645,0.24097694611056145,0.04436583255101321,0.7584400303671892,33.13986778259277
68,150,5,0.05,1.0,1.0,0.5587067816053419,0.15965952067954295,0.02574096712561181,0.1157142857142857,0.025179626793147208,0.29251748251748255,0.2234779772598771,0.02390486787703079,0.7589916044963031,33.959295988082886
69,150,5,0.1,0.8,0.8,0.5947268285505891,0.2262428339180286,0.02277059347764481,0.15380952380952378,0.018540878413268368,0.5222727272727273,0.26686452307448194,0.0286136110809642,0.7702777796330558,32.51762294769287
70,150,5,0.1,0.8,1.0,0.5708361377237522,0.18150893997445722,0.04100690298427563,0.12523809523809523,0.024633366012147738,0.37803030303030305,0.23028314299738897,0.040447984237440136,0.7686653130558876,33.67224907875061
71,150,5,0.1,1.0,0.8,0.5708640029066488,0.18121770702415863,0.03200750111171962,0.12523809523809523,0.024633366012147738,0.3909157509157509,0.22223139342632411,0.05010262543838328,0.7553623023850711,33.27427101135254
72,150,5,0.1,1.0,1.0,0.5505878581669665,0.1412667065970737,0.038070110307499135,0.09666666666666666,0.03242294196295086,0.29454545454545455,0.2226049721053794,0.03481291876092178,0.7553126996742873,33.79768109321594
